Mods count: 141
 
                                   jar name                                     |    notes     |               mod id                |                    mod name                     |          mod version           |                                                                                                                                                                            mixin configs                                                                                                                                                                            |              modrinth hash               | curseforge hash
corpse-neoforge-1.21.1-1.1.13.jar                                               |              | corpse                              | Corpse                                          | 1.21.1-1.1.13                  |                                                                                                                                                                                                                                                                                                                                                                     | a735362c4e5ef705956f1fcbac01fb9f1aae5b8e | 2486282644     
corpsecurioscompat-1.21.1-NeoForge-3.1.3.jar                                    |              | corpsecurioscompat                  | Corpse Curios Compatibility                     | 3.1.3                          | corpsecurioscompat.mixins.json                                                                                                                                                                                                                                                                                                                                      | 2aa5e83940a26c6e529e58a3a8a0260df3078c6d | 2638912561     
cosmeticarmorreworked-1.21.1-v1-neoforge.jar                                    |              | cosmeticarmorreworked               | CosmeticArmorReworked                           | 1.21.1-v1-neoforge             |                                                                                                                                                                                                                                                                                                                                                                     | 5f1e699cd0888b857ec63f01adaeb3571848bfea | 499008780      
cosmeticcorpsecompat-1.21.1-NeoForge--1.0.0.jar                                 |              | cosmeticcorpsecompat                | cosmeticcorpsecompat                            | 1.0.0                          | cosmeticcorpsecompat.mixins.json                                                                                                                                                                                                                                                                                                                                    | c9a4c265a2ca4ab2db0ab0c673d7b9978b0086aa | 599580683      
craftingtweaks-neoforge-1.21.1-21.1.7.jar                                       |              | craftingtweaks                      | Crafting Tweaks                                 | 21.1.7                         | craftingtweaks.neoforge.mixins.json, craftingtweaks.mixins.json                                                                                                                                                                                                                                                                                                     | 4717e32cc9d21022e85c6e51771fb69be8e40ff4 | 3992681805     
CrashAssistant-neoforge-1.20.6-1.21.4-1.11.6.jar                                |              | crash_assistant                     | Crash Assistant                                 | 1.11.6                         | crash_assistant.mixins.json, crash_assistant.neoforge.mixins.json                                                                                                                                                                                                                                                                                                   | 5ff8b4cfef095dd84161168ffd33dd155115e95e | 984536650      
    /META-INF/jarjar/app.jar                                                    |              |                                     |                                                 |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jarjar/crash_assistant-neoforge.jar                               |              | crash_assistant                     | Crash Assistant                                 | 1.11.6                         | crash_assistant.mixins.json, crash_assistant.neoforge.mixins.json                                                                                                                                                                                                                                                                                                   |                                          |                
Create Encased-1.21.1-1.8-ht2.jar                                               |              | createcasing                        | Create Encased                                  | 1.8-ht2                        | createcasing.mixins.json                                                                                                                                                                                                                                                                                                                                            | 957a7ee1741c7a8536bedd401a923d7fb73a7092 | 1631575314     
create-1.21.1-6.0.9.jar                                                         |              | create                              | Create                                          | 6.0.9                          | create.mixins.json                                                                                                                                                                                                                                                                                                                                                  | bf08bf8980c080f42d6f644f4f44a725cf7c3be9 | 2157808772     
    /META-INF/jarjar/ponder-neoforge-1.0.81+mc1.21.1.jar                        |              | ponder                              | Ponder                                          | 1.0.81+mc1.21.1                | ponder-common.mixins.json, ponder.mixins.json                                                                                                                                                                                                                                                                                                                       |                                          |                
    /META-INF/jarjar/flywheel-neoforge-1.21.1-1.0.6.jar                         |              | flywheel                            | Flywheel                                        | 1.0.6                          | flywheel.impl.mixins.json, flywheel.impl.neoforge.mixins.json, flywheel.backend.mixins.json                                                                                                                                                                                                                                                                         |                                          |                
    /META-INF/jarjar/Registrate-MC1.21-1.3.0+67.jar                             |              |                                     |                                                 |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
create-access-denied-0.0.4-mc1.21.1-c6.0.6.jar                                  |              | create_access_denied                | Create: Access Denied                           | 0.0.4                          | create_access_denied.mixins.json                                                                                                                                                                                                                                                                                                                                    | 9e6a1a97d81e528f93c1bf250969380f7804284b | 3702599079     
create-confectionery1.21.1_v1.1.2.jar                                           | MCreator mod | create_confectionery                | Create Confectionery                            | 1.1.2                          | mixins.create_confectionery.json                                                                                                                                                                                                                                                                                                                                    | 03110e94c56c74118d1fdd7c463f0e18e32a1a37 | 3151542676     
create-dragons-plus-1.8.7.jar                                                   |              | create_dragons_plus                 | Create: Dragons Plus                            | 1.8.7                          | create_dragons_plus.mixins.json                                                                                                                                                                                                                                                                                                                                     | 3e53b26e850f9d2a995868b0d7c012ba8e9d373b | 1287086927     
    /META-INF/jarjar/conditional-mixin-neoforge-0.6.4.jar                       |              | conditional_mixin                   | conditional mixin                               | 0.6.4                          |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
